RELATED,count,sum_weights,lbl
101,13486551,1332791272,Head/Householder
301,8205290,974790563,Child
201,6873939,637318470,Spouse
1114,783552,86890393,Unmarried Partner
901,749845,85055270,Grandchild
1115,451726,67926657,Housemate/Roomate
501,360205,47043911,Parent
1270,893329,46047298,Non-inmate 1990
1001,335425,45748758,Other Relatives
701,316757,43982773,Sibling
1301,831777,42427179,Institutional inmates
1260,341341,42363525,Other non-relatives (1990 includes employees)
303,361917,42324647,Stepchild
302,213843,23732119,Adopted Child
401,125779,15914287,Child-in-law
1241,86620,13357447,Roomers/boarders/lodgers
601,96553,11570971,Parent-in-Law
801,52541,7102915,Sibling-in-Law
1242,26100,2870078,Foster children
